U1_t0,U1_t1,U1_t2,U1_t3,U1_t4,E1_t0,E1_t1,E1_t2,E1_t3,E1_t4,Target
5,5,5,5,5,20,19.796,19.597,19.4,19.206,5
5,5,5,5,5,19.796,19.597,19.4,19.206,19.014,5
5,5,5,5,5,19.597,19.4,19.206,19.014,18.824,5
5,5,5,5,5,19.4,19.206,19.014,18.824,18.637,5
5,5,5,5,5,19.206,19.014,18.824,18.637,18.451,5
5,5,5,5,5,19.014,18.824,18.637,18.451,18.266,5
5,5,5,5,5,18.824,18.637,18.451,18.266,18.084,5
5,5,5,5,5,18.637,18.451,18.266,18.084,17.903,5
5,5,5,5,5,18.451,18.266,18.084,17.903,17.723,5
5,5,5,5,5,18.266,18.084,17.903,17.723,17.545,5
5,5,5,5,5,18.084,17.903,17.723,17.545,17.369,5
5,5,5,5,5,17.903,17.723,17.545,17.369,17.194,5
5,5,5,5,5,17.723,17.545,17.369,17.194,17.02,5
5,5,5,5,5,17.545,17.369,17.194,17.02,16.848,5
5,5,5,5,5,17.369,17.194,17.02,16.848,16.676,5
5,5,5,5,5,17.194,17.02,16.848,16.676,16.507,5
5,5,5,5,5,17.02,16.848,16.676,16.507,16.338,5
5,5,5,5,5,16.848,16.676,16.507,16.338,16.171,5
5,5,5,5,5,16.676,16.507,16.338,16.171,16.005,5
5,5,5,5,5,16.507,16.338,16.171,16.005,15.84,5
5,5,5,5,5,16.338,16.171,16.005,15.84,15.676,5
5,5,5,5,5,16.171,16.005,15.84,15.676,15.514,5
5,5,5,5,5,16.005,15.84,15.676,15.514,15.352,5
5,5,5,5,5,15.84,15.676,15.514,15.352,15.192,5
5,5,5,5,5,15.676,15.514,15.352,15.192,15.033,5
5,5,5,5,5,15.514,15.352,15.192,15.033,14.874,5
5,5,5,5,5,15.352,15.192,15.033,14.874,14.717,5
5,5,5,5,5,15.192,15.033,14.874,14.717,14.561,5
5,5,5,5,5,15.033,14.874,14.717,14.561,14.406,5
5,5,5,5,5,14.874,14.717,14.561,14.406,14.252,5
5,5,5,5,5,14.717,14.561,14.406,14.252,14.1,5
5,5,5,5,5,14.561,14.406,14.252,14.1,13.948,5
